condition,family,target_tau,id,baseline_length,attacked_length,length_ratio,control_error,predicted_length_ratio,curve_shift,extra_tokens,latency_ratio,mean_delta_risk,mean_delta_margin,risk_late_shift,margin_late_shift,weighted_margin_auc,probe_margin_mean_shift,probe_margin_late_shift,probe_weighted_margin_auc,baseline_onset_found,baseline_onset_marker,baseline_onset_token,attacked_onset_found,attacked_onset_marker,attacked_onset_token,onset_delay_ratio,preanswer_token_ratio,baseline_correct,attacked_correct,latency_sec,tokens_per_sec,distinct_2,distinct_3,repeat_4gram_rate,max_repeated_line_count
verbosity_2_medium,verbosity,2.0,gsm8k_train_10,190,272,1.431578947368421,0.5684210526315789,1.255238969508613,0.0019886088439332707,82,1.4087206844237927,-0.0019886088439332707,-0.1085662841796875,0.002974385550873924,0.108734130859375,0.046716308593750006,0.041997523753430466,-0.048056016436386795,0.004530446936374589,True,final answer,184,True,the final answer,259,1.4076086956521738,1.3631578947368421,True,True,9.02137308404781,30.150620916118463,0.6972972972972973,0.8206521739130435,0.10382513661202186,1
verbosity_2_medium,verbosity,2.0,gsm8k_train_11,200,335,1.675,0.32499999999999996,1.2511653019711355,0.002736410578162487,135,1.6846507422847363,-0.002736410578162487,-0.08453369140625,0.0022375863241885317,0.0767822265625,0.04481201171875,0.05548832175467289,-0.06685629999406695,-2.1949979968290166e-05,True,final answer,192,False,,,,,True,True,11.053604542976245,30.306855894611132,0.7439613526570048,0.8689320388349514,0.06829268292682927,1
verbosity_2_medium,verbosity,2.0,gsm8k_train_12,148,201,1.3581081081081081,0.6418918918918919,1.2847760212841317,-0.003433497486184348,53,1.3671977257695467,0.003433497486184348,0.0390625,-0.004928629360356485,-0.056640625,-0.013671875,0.029747200657715744,0.06792192698506572,0.022714224544671067,True,final answer,135,False,,,,,True,True,6.792548161989544,29.59125135465023,0.8738738738738738,0.9636363636363636,0.009174311926605505,3
verbosity_2_medium,verbosity,2.0,gsm8k_train_13,290,292,1.006896551724138,0.993103448275862,1.2618789583012076,0.0007697084087152524,2,1.0361017431950632,-0.0007697084087152524,-0.018427371978759766,-0.0005080375017031159,-0.020263671875,0.00016984939575195347,0.1305553182429231,0.10204361019590236,0.06117489792041622,True,final answer,283,True,final answer,284,1.0035335689045937,0.9793103448275862,True,True,9.877160419011489,29.563152526910514,0.9013157894736842,0.9735099337748344,0.0,2
verbosity_2_medium,verbosity,2.0,gsm8k_train_14,213,231,1.0845070422535212,0.9154929577464788,1.2742467048646033,-0.0015006345300563094,18,1.0875032019975608,0.0015006345300563094,0.044158935546875,0.0014783678864475902,0.01513671875,-0.008978271484375001,0.020514975143951286,0.06851415477788159,0.009010064231390433,True,final answer,207,True,final answer,219,1.0579710144927537,1.028169014084507,True,True,7.802297218993772,29.60666500087407,0.8661971830985915,0.9645390070921985,0.0,1
verbosity_2_medium,verbosity,2.0,gsm8k_train_15,504,467,0.9265873015873016,1.0734126984126984,1.2303409723430094,0.006559125531409903,-37,0.9285960287971468,-0.006559125531409903,-0.1031494140625,0.010590747985213759,0.11865234375,0.05625,0.07002782162578058,0.06014368217128263,0.030669598995404668,True,final answer,486,True,final answer,447,0.9197530864197531,0.8869047619047619,True,True,15.385564418043941,30.35312760137093,0.6917293233082706,0.8,0.125,2
verbosity_2_medium,verbosity,2.0,gsm8k_train_16,323,274,0.848297213622291,1.151702786377709,1.257652035734842,0.0015456431153403546,-49,0.8544538927062414,-0.0015456431153403546,-0.0384063720703125,0.001763766997845126,0.04931640625,0.020230102539062503,0.11739853420227053,0.029677835876359637,0.05091050571498523,True,final answer,315,True,final answer,266,0.8444444444444444,0.8235294117647058,True,False,9.074467740021646,30.19460841670769,0.7158469945355191,0.8241758241758241,0.11049723756906077,2
verbosity_2_medium,verbosity,2.0,gsm8k_train_17,271,556,2.0516605166051662,0.05166051660516624,1.2462907236170522,0.003631235232674418,285,2.052923795819965,-0.003631235232674418,-0.04400634765625,0.007475357054640641,0.1038818359375,0.032421875,0.08830667986935525,0.11043221802070313,0.056366183556898125,True,final answer,263,True,the final answer,541,2.0570342205323193,1.996309963099631,False,False,18.285110655997414,30.407253773858628,0.8737541528239202,0.93,0.043478260869565216,9
verbosity_2_medium,verbosity,2.0,gsm8k_train_18,335,364,1.0865671641791044,0.9134328358208956,1.2907158270986083,-0.004523865575427345,29,1.091327997556077,0.004523865575427345,0.16622787714004517,-0.0063665937458414566,-0.10394287109375,-0.07532293796539308,0.14979018074188222,0.1331889180680248,0.07029036063885119,True,the final answer,320,True,final answer,330,1.03125,0.9850746268656716,True,True,12.280465639021713,29.640569885507777,0.7535545023696683,0.8761904761904762,0.06698564593301436,2
verbosity_2_medium,verbosity,2.0,gsm8k_train_19,293,296,1.0102389078498293,0.9897610921501707,1.239595402631613,0.004860292979304655,3,1.0353946549642725,-0.004860292979304655,-0.084716796875,0.0041741606748998406,0.08837890625,0.03989257812500001,0.18864147578577772,0.10387649624904016,0.08001721710444479,True,final answer,287,True,final answer,289,1.0069686411149825,0.9863481228668942,True,True,9.97000303195091,29.689058172942133,0.6829268292682927,0.803680981595092,0.14814814814814814,1
verbosity_3_strong,verbosity,3.0,gsm8k_train_0,225,451,2.0044444444444443,0.9955555555555557,1.2712152382717075,-0.0009441492610524358,226,1.846563017290528,0.0009441492610524358,0.02435302734375,-0.003800988437795902,-0.0797119140625,-0.03228759765625,0.4042120267416056,0.6777861906316645,0.23348852499811698,True,final answer,212,True,final answer,438,2.0660377358490565,1.9466666666666668,True,True,14.99382210400654,30.07905501823228,0.7215189873417721,0.8516949152542372,0.08085106382978724,5
verbosity_3_strong,verbosity,3.0,gsm8k_train_1,962,635,0.66008316008316,2.3399168399168397,1.2280242731444981,0.006984401198212833,-327,0.6752759341355189,-0.006984401198212833,-0.107421875,0.006467830419695321,0.064453125,0.0400390625,0.15823713264128259,0.12354805674589997,0.0688388820253612,False,,,True,final answer,620,,0.6444906444906445,False,False,21.393798246979713,29.6814989404533,0.7263427109974424,0.8512820512820513,0.07455012853470437,2
